,Weekday,Hour,Region,Avg_Traffic
646,6,9,1,13.66666667
647,6,9,2,313.3333333
648,6,9,3,268.6666667
649,6,9,4,456.4615385
650,6,10,0,102.5
651,6,10,1,20.16666667
652,6,10,2,360.5
653,6,10,3,324.7692308
654,6,10,4,551.8333333
655,6,11,0,155.1666667
656,6,11,1,27.66666667
657,6,11,2,374.9230769
658,6,11,3,443.6923077
659,6,11,4,603.2307692
660,6,12,0,197.5
661,6,12,1,59.83333333
662,6,12,2,425.3333333
663,6,12,3,556.1666667
664,6,12,4,646.6153846
665,6,13,0,220.8333333
666,6,13,1,72.66666667
667,6,13,2,379.3846154
668,6,13,3,636.5
669,6,13,4,615.3846154
670,6,14,0,272.6666667
671,6,14,1,87.84615385
672,6,14,2,416.4615385
673,6,14,3,683.5384615
674,6,14,4,611.3846154
675,6,15,0,342.8333333
676,6,15,1,111.1666667
677,6,15,2,473.8461538
678,6,15,3,813.2307692
679,6,15,4,759.3333333
680,6,16,0,351.8333333
681,6,16,1,128.6666667
682,6,16,2,505.5384615
683,6,16,3,910
684,6,16,4,680
685,6,17,0,391.1666667
686,6,17,1,132.8333333
687,6,17,2,720.3333333
688,6,17,3,946.5
689,6,17,4,814.7692308
690,6,18,0,415.6666667
691,6,18,1,77.83333333
692,6,18,2,853.3333333
693,6,18,3,854.5
694,6,18,4,1058.923077
695,6,19,0,363.3333333
696,6,19,1,50.16666667
697,6,19,2,737.5
698,6,19,3,770.3333333
699,6,19,4,1033.230769
700,6,20,0,314.3333333
701,6,20,1,39.16666667
702,6,20,2,572.3333333
703,6,20,3,691.1666667
704,6,20,4,911.5
705,6,21,0,376.8333333
706,6,21,1,53.16666667
707,6,21,2,533.5384615
708,6,21,3,846.1666667
709,6,21,4,887.8461538
710,6,22,0,406.3333333
711,6,22,1,57.38461538
712,6,22,2,653.5
713,6,22,3,866.9230769
714,6,22,4,1079.076923
715,6,23,0,255.6923077
716,6,23,1,65
717,6,23,2,540.7692308
718,6,23,3,727.3846154
719,6,23,4,1253.846154
720,7,0,0,207.5384615
721,7,0,1,44.83333333
722,7,0,2,456.4615385
723,7,0,3,559.5
724,7,0,4,1493.692308
725,7,1,0,162.5
726,7,1,1,28.5
727,7,1,2,349.3846154
728,7,1,3,337.5
729,7,1,4,1560.923077
730,7,2,0,114.4615385
731,7,2,1,13.5
732,7,2,2,250.7692308
733,7,2,3,220.1538462
734,7,2,4,1281.692308
735,7,3,0,54.5
736,7,3,1,7.666666667
737,7,3,2,198.8333333
738,7,3,3,127.6923077
739,7,3,4,675.3846154
740,7,4,0,17
741,7,4,1,4.857142857
742,7,4,2,72.5
743,7,4,3,54
744,7,4,4,206.3333333
745,7,5,0,10
746,7,5,1,3.142857143
747,7,5,2,43.83333333
748,7,5,3,34.61538462
749,7,5,4,102
750,7,6,0,12.83333333
751,7,6,1,3
752,7,6,2,69.69230769
753,7,6,3,49.23076923
754,7,6,4,111.2307692
755,7,7,0,19.38461538
756,7,7,1,5.333333333
757,7,7,2,129.5
758,7,7,3,77.53846154
759,7,7,4,162.6153846
760,7,8,0,31.5
761,7,8,1,7.8
762,7,8,2,208.1538462
763,7,8,3,130
764,7,8,4,263.8461538
765,7,9,0,62.5
766,7,9,1,10.5
767,7,9,2,275.8461538
768,7,9,3,189.5384615
769,7,9,4,407.6923077
770,7,10,0,84.61538462
771,7,10,1,17.66666667
772,7,10,2,340.1538462
773,7,10,3,284.7692308
774,7,10,4,542.7692308
775,7,11,0,116.6153846
776,7,11,1,25.33333333
777,7,11,2,360.3076923
778,7,11,3,353.6923077
779,7,11,4,579.2307692
780,7,12,0,147.2307692
781,7,12,1,42.76923077
782,7,12,2,333.5384615
783,7,12,3,434.1538462
784,7,12,4,573.6923077
785,7,13,0,151.3846154
786,7,13,1,53.83333333
787,7,13,2,296
788,7,13,3,438
789,7,13,4,538.3076923
790,7,14,0,186.7692308
791,7,14,1,59.53846154
792,7,14,2,324.4615385
793,7,14,3,539.6923077
794,7,14,4,520
795,7,15,0,224.6153846
796,7,15,1,76.46153846
797,7,15,2,385.3846154
798,7,15,3,629.2307692
799,7,15,4,592.1538462
800,7,16,0,230.3076923
801,7,16,1,82.46153846
802,7,16,2,386.4615385
803,7,16,3,675.5384615
804,7,16,4,575.8461538
805,7,17,0,215.6923077
806,7,17,1,73.07692308
807,7,17,2,411.0769231
808,7,17,3,668.6153846
809,7,17,4,586.7692308
810,7,18,0,222
811,7,18,1,31.69230769
812,7,18,2,453.3846154
813,7,18,3,626.1538462
814,7,18,4,666.7692308
815,7,19,0,165.3846154
816,7,19,1,23.84615385
817,7,19,2,369.2307692
818,7,19,3,572.9230769
819,7,19,4,563.8461538
820,7,20,0,145.6923077
821,7,20,1,15.5
822,7,20,2,297.2307692
823,7,20,3,573.6923077
824,7,20,4,495.3846154
825,7,21,0,151.0769231
826,7,21,1,20
827,7,21,2,292.3076923
828,7,21,3,603.6923077
829,7,21,4,437.0769231
830,7,22,0,110.7692308
831,7,22,1,14.15384615
832,7,22,2,259.5384615
833,7,22,3,519.2307692
834,7,22,4,436.1538462
835,7,23,0,69.69230769
836,7,23,1,9.076923077
837,7,23,2,184.6153846
838,7,23,3,369.0769231
839,7,23,4,342.1538462
